Date : 2022-07-28 09:22:06
Directory : /Users/timothymalcham/dev/DINO-MERCS/src
Total : 175 files,  22271 codes, 573 comments, 1568 blanks, all 24412 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| TypeScript       |        102 |     12,890 |        125 |        770 |     13,785 |
| TypeScript React |         70 |      8,692 |         42 |        647 |      9,381 |
| CSS              |          1 |        531 |        406 |        117 |      1,054 |
| Markdown         |          2 |        158 |          0 |         34 |        192 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                    |        175 |     22,271 |        573 |      1,568 |     24,412 |
| @types                                                                                               |          3 |          3 |          0 |          3 |          6 |
| assets                                                                                               |          1 |        531 |        406 |        117 |      1,054 |
| assets/styles                                                                                        |          1 |        531 |        406 |        117 |      1,054 |
| cards                                                                                                |         83 |      7,639 |          2 |        379 |      8,020 |
| cards/baseDefense                                                                                    |         23 |      1,633 |          2 |        106 |      1,741 |
| cards/baseDefense/cards                                                                              |         20 |      1,483 |          0 |         59 |      1,542 |
| cards/baseDefense/cards/attackers                                                                    |          5 |        314 |          0 |         14 |        328 |
| cards/combat                                                                                         |         36 |      3,176 |          0 |        150 |      3,326 |
| cards/combat/cards                                                                                   |         33 |      2,762 |          0 |         99 |      2,861 |
| cards/enemy                                                                                          |          7 |      1,752 |          0 |         61 |      1,813 |
| cards/operation                                                                                      |         16 |      1,077 |          0 |         61 |      1,138 |
| cards/operation/cards                                                                                |         14 |      1,003 |          0 |         42 |      1,045 |
| components                                                                                           |         65 |      7,161 |         31 |        603 |      7,795 |
| components/screens                                                                                   |         36 |      4,284 |         17 |        381 |      4,682 |
| components/screens/baseDefense                                                                       |         11 |      1,243 |          1 |        129 |      1,373 |
| components/screens/combat                                                                            |         10 |        946 |          1 |         91 |      1,038 |
| components/screens/operation                                                                         |          8 |        940 |          2 |         83 |      1,025 |
| components/shared                                                                                    |         26 |      2,620 |         14 |        203 |      2,837 |
| components/shared/styled                                                                             |          5 |        378 |          0 |         27 |        405 |
| engine                                                                                               |          8 |      4,050 |         46 |        221 |      4,317 |
| engine/game                                                                                          |          8 |      4,050 |         46 |        221 |      4,317 |
| seeds                                                                                                |          3 |        245 |          0 |          6 |        251 |
| utils                                                                                                |          6 |      2,023 |         66 |        164 |      2,253 |
| utils/maps                                                                                           |          1 |         95 |          8 |          8 |        111 |
| utils/maps/imageMaps                                                                                 |          1 |         95 |          8 |          8 |        111 |
+------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                             | language         | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| /Users/timothymalcham/dev/DINO-MERCS/src/@types/deep-equal.d.ts                                      | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/timothymalcham/dev/DINO-MERCS/src/@types/react-aria-tooltip.d.ts                              | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/timothymalcham/dev/DINO-MERCS/src/@types/react-typist.d.ts                                    | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/timothymalcham/dev/DINO-MERCS/src/App.tsx                                                     | TypeScript React |         17 |          0 |          4 |         21 |
| /Users/timothymalcham/dev/DINO-MERCS/src/Game.tsx                                                    | TypeScript React |        116 |          7 |         10 |        133 |
| /Users/timothymalcham/dev/DINO-MERCS/src/assets/styles/index.css                                     | CSS              |        531 |        406 |        117 |      1,054 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/README.md                                 | Markdown         |         36 |          0 |         19 |         55 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/baseDefenseCards.ts                       | TypeScript       |         90 |          0 |         16 |        106 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/attackers/airStrike.ts              | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/attackers/attackVtol.ts             | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/attackers/groundTroops.ts           | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/attackers/index.ts                  | TypeScript       |         10 |          0 |          2 |         12 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/attackers/rapidAssaultMech.ts       | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/baseDefenseEvent.ts                 | TypeScript       |         67 |          0 |          3 |         70 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/cargoDrop.ts                        | TypeScript       |         65 |          0 |          3 |         68 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/competitionKiller.ts                | TypeScript       |         84 |          0 |          3 |         87 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/enhancedSystems.ts                  | TypeScript       |         87 |          0 |          3 |         90 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/entrench.ts                         | TypeScript       |         90 |          0 |          3 |         93 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/expeditedRepairs.ts                 | TypeScript       |         78 |          0 |          3 |         81 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/feast.ts                            | TypeScript       |         90 |          0 |          3 |         93 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/firefighters.ts                     | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/freshBatch.ts                       | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/gambit.ts                           | TypeScript       |         87 |          0 |          3 |         90 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/generateRevenue.ts                  | TypeScript       |         71 |          0 |          3 |         74 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/incendiaryBarrage.ts                | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/muchNeededRepairs.ts                | TypeScript       |         78 |          0 |          3 |         81 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/rally.ts                            | TypeScript       |         87 |          0 |          3 |         90 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/cards/severeStorm.ts                      | TypeScript       |         69 |          0 |          3 |         72 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/baseDefense/starterDeck.ts                            | TypeScript       |         24 |          2 |         12 |         38 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/README.md                                      | Markdown         |        122 |          0 |         15 |        137 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/blazingSun.ts                            | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/chargeShield.ts                          | TypeScript       |         77 |          0 |          3 |         80 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/closeAirSupport.ts                       | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/combatArmor.ts                           | TypeScript       |         62 |          0 |          3 |         65 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/cruelBlade.ts                            | TypeScript       |         95 |          0 |          3 |         98 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/digIn.ts                                 | TypeScript       |         63 |          0 |          3 |         66 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/displayOfForce.ts                        | TypeScript       |         66 |          0 |          3 |         69 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/dizziedStrike.ts                         | TypeScript       |         95 |          0 |          3 |         98 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/energyBlast.ts                           | TypeScript       |        116 |          0 |          3 |        119 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/fireFlail.ts                             | TypeScript       |        108 |          0 |          3 |        111 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/flamethrower.ts                          | TypeScript       |         92 |          0 |          3 |         95 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/flamingBile.ts                           | TypeScript       |         95 |          0 |          3 |         98 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/flashbang.ts                             | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/fragGrenade.ts                           | TypeScript       |        100 |          0 |          3 |        103 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/fullMetalJacket.ts                       | TypeScript       |        102 |          0 |          3 |        105 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/guidedMissile.ts                         | TypeScript       |        102 |          0 |          3 |        105 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/illogicalCourage.ts                      | TypeScript       |         95 |          0 |          3 |         98 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/laserStrike.ts                           | TypeScript       |        105 |          0 |          3 |        108 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/laserSword.ts                            | TypeScript       |         90 |          0 |          3 |         93 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/medivac.ts                               | TypeScript       |         65 |          0 |          3 |         68 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/mobileShieldBattery.ts                   | TypeScript       |         66 |          0 |          3 |         69 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/panicButton.ts                           | TypeScript       |         78 |          0 |          3 |         81 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/rpg.ts                                   | TypeScript       |        111 |          0 |          3 |        114 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/shattered.ts                             | TypeScript       |         63 |          0 |          3 |         66 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/shieldOverload.ts                        | TypeScript       |        107 |          0 |          3 |        110 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/sliceAndDice.ts                          | TypeScript       |         71 |          0 |          3 |         74 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/smokeGrenade.ts                          | TypeScript       |         70 |          0 |          3 |         73 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/snapOutOfIt.ts                           | TypeScript       |         99 |          0 |          3 |        102 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/standardIssueRifle.ts                    | TypeScript       |         96 |          0 |          3 |         99 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/suppressiveFire.ts                       | TypeScript       |         57 |          0 |          3 |         60 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/thermalSights.ts                         | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/trustySidearm.ts                         | TypeScript       |         65 |          0 |          3 |         68 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/cards/wallbang.ts                              | TypeScript       |         63 |          0 |          3 |         66 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/combatCards.ts                                 | TypeScript       |        267 |          0 |         32 |        299 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/combat/starterDeck.ts                                 | TypeScript       |         25 |          0 |          4 |         29 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/constants.ts                                          | TypeScript       |          1 |          0 |          1 |          2 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/carcharodontosaurus.ts                          | TypeScript       |        231 |          0 |          8 |        239 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/carnotaurus.ts                                  | TypeScript       |        411 |          0 |         15 |        426 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/cryolophosaurus.ts                              | TypeScript       |        242 |          0 |          8 |        250 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/gallimimus.ts                                   | TypeScript       |        214 |          0 |          8 |        222 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/mercuriceratops.ts                              | TypeScript       |        178 |          0 |          6 |        184 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/pachycephalosaurus.ts                           | TypeScript       |        227 |          0 |          8 |        235 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/enemy/styracosaurus.ts                                | TypeScript       |        249 |          0 |          8 |        257 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/allIn.ts                              | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/blockade.ts                           | TypeScript       |         51 |          0 |          3 |         54 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/combatCare.ts                         | TypeScript       |         62 |          0 |          3 |         65 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/combatEncounter.ts                    | TypeScript       |         86 |          0 |          3 |         89 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/deadlyArsenal.ts                      | TypeScript       |         72 |          0 |          3 |         75 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/landMine.ts                           | TypeScript       |         79 |          0 |          3 |         82 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/operationEvent.ts                     | TypeScript       |         61 |          0 |          3 |         64 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/raiderAmbush.ts                       | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/rapidDeployment.ts                    | TypeScript       |         65 |          0 |          3 |         68 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/scavenger.ts                          | TypeScript       |         69 |          0 |          3 |         72 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/spikePitTrap.ts                       | TypeScript       |         79 |          0 |          3 |         82 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/spoilsOfWar.ts                        | TypeScript       |         76 |          0 |          3 |         79 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/swindle.ts                            | TypeScript       |         75 |          0 |          3 |         78 |
| /Users/timothymalcham/dev/DINO-MERCS/src/cards/operation/cards/thievingBandits.ts                    | TypeScript       |         76 |          0 |          3 |         79 |
